4019679	1	4	2.95408	19.3375	46	
4019679	1	4	2.96207	19.3972	46	
4019679	1	4	2.97657	19.3913	46	
4019679	1	4	3.02794	19.3559	46	
4019679	1	4	2.96566	20.0871	46	
4019679	4	4	1.44476	5.37381	46	
4019679	4	4	1.4484	5.446	46	
4019679	4	4	1.60329	6.53221	46	
4019679	4	4	1.521	6.69688	46	
4019679	4	4	1.51825	6.70785	46	
4019679	12	4	1.08526	2.21836	42	
4019679	12	4	1.07991	2.21169	42	
4019679	12	4	1.1085	2.21827	42	
4019679	12	4	1.0852	2.22707	42	
4019679	12	4	1.12022	2.21547	42	
4019679	24	4	1.08871	1.22364	42	
4019679	24	4	1.12902	1.23755	42	
4019679	24	4	1.1167	1.22855	42	
4019679	24	4	1.12017	1.22795	42	
4019679	24	4	1.15258	1.23265	42	
4019679	48	4	1.07355	1.02352	46	
4019679	48	4	1.20359	0.996209	46	
4019679	48	4	1.09977	1.00382	46	
4019679	48	4	1.13263	1.04175	46	
4019679	48	4	1.12596	1.04813	46	
8000000	1	8	2.81335	15.361	48	
8000000	1	8	2.81259	15.3763	48	
8000000	1	8	3.56233	14.5796	48	
8000000	1	8	2.81257	16.2811	48	
8000000	1	8	3.54689	19.6329	48	
8000000	4	8	1.57577	6.24996	50	
8000000	4	8	1.58686	7.41411	50	
8000000	4	8	1.57388	7.40624	50	
8000000	4	8	1.60536	7.52986	50	
8000000	4	8	2.07533	7.04232	50	
8000000	12	8	1.12458	2.81965	52	
8000000	12	8	1.12607	2.81732	52	
8000000	12	8	1.21168	2.81352	52	
8000000	12	8	1.2031	3.30689	52	
8000000	12	8	1.24486	4.11895	52	
8000000	24	8	1.19911	1.53021	52	
8000000	24	8	1.22771	1.52572	52	
8000000	24	8	1.17594	1.53639	52	
8000000	24	8	1.21011	1.53117	52	
8000000	24	8	1.28033	1.55192	52	
8000000	48	8	1.29609	1.18647	48	
8000000	48	8	1.26411	1.13178	48	
8000000	48	8	1.15546	1.10009	48	
8000000	48	8	1.36075	1.12251	48	
8000000	48	8	1.21782	1.12282	48	
12008989	1	12	3.8962	20.4427	70	
12008989	1	12	2.58518	19.7313	70	
12008989	1	12	2.88241	34.4302	70	
12008989	1	12	2.97048	34.4594	70	
12008989	1	12	3.12289	33.9954	70	
12008989	4	12	1.57162	10.2519	66	
12008989	4	12	1.58426	10.2422	66	
12008989	4	12	1.49626	10.5488	68	
12008989	4	12	1.51187	10.8564	70	
12008989	4	12	1.55272	10.8582	70	
12008989	12	12	1.1316	3.94846	72	
12008989	12	12	1.20836	3.83763	70	
12008989	12	12	1.19592	3.82086	70	
12008989	12	12	1.21263	3.89431	72	
12008989	12	12	1.21634	4.00549	74	
12008989	24	12	1.17878	2.14698	72	
12008989	24	12	1.15562	2.14874	72	
12008989	24	12	1.21622	2.15333	72	
12008989	24	12	1.29775	2.0531	70	
12008989	24	12	1.2511	2.00234	68	
12008989	48	12	1.22767	1.7283	70	
12008989	48	12	1.2651	1.81433	74	
12008989	48	12	1.32463	1.76899	72	
12008989	48	12	1.23905	1.80256	70	
12008989	48	12	1.29502	1.83284	70	
16003008	1	16	2.96332	26.6091	60	
16003008	1	16	2.88061	27.4575	60	
16003008	1	16	2.9486	27.1581	60	
16003008	1	16	3.12771	35.8563	60	
16003008	1	16	3.31086	37.3436	60	
16003008	4	16	1.37718	7.36315	60	
16003008	4	16	1.44199	7.34353	60	
16003008	4	16	1.40924	7.3376	60	
16003008	4	16	1.3382	7.33338	60	
16003008	4	16	1.45222	7.40715	60	
16003008	12	16	0.900662	3.16314	60	
16003008	12	16	0.96645	3.19722	60	
16003008	12	16	1.03483	3.21364	60	
16003008	12	16	1.07002	3.15716	60	
16003008	12	16	1.02817	3.16474	60	
16003008	24	16	1.0535	1.74964	60	
16003008	24	16	0.986883	1.71031	60	
16003008	24	16	1.07887	1.73048	60	
16003008	24	16	1.08082	1.75582	60	
16003008	24	16	1.04272	1.73979	60	
16003008	48	16	1.05667	1.51577	64	
16003008	48	16	1.07342	1.43058	64	
16003008	48	16	1.02575	1.39475	64	
16003008	48	16	1.11035	1.52414	64	
16003008	48	16	1.15264	1.60451	64	
19902511	1	20	2.7361	30.9409	74	
19902511	1	20	2.93678	43.7954	74	
19902511	1	20	3.01224	43.7857	74	
19902511	1	20	3.20524	43.5163	74	
19902511	1	20	2.95075	42.4299	74	
19902511	4	20	1.43593	11.0739	74	
19902511	4	20	1.47344	10.9518	74	
19902511	4	20	1.50912	11.0891	74	
19902511	4	20	1.52801	11.1091	74	
19902511	4	20	1.58976	11.0661	74	
19902511	12	20	1.14729	4.0523	74	
19902511	12	20	1.1404	4.00259	74	
19902511	12	20	1.18335	4.0322	74	
19902511	12	20	1.15442	4.02107	74	
19902511	12	20	1.26053	4.00024	74	
19902511	24	20	1.13169	2.23024	74	
19902511	24	20	1.11352	2.37493	74	
19902511	24	20	1.12277	2.27303	74	
19902511	24	20	1.15606	2.2675	74	
19902511	24	20	1.1797	2.26259	74	
19902511	48	20	1.17564	1.79011	70	
19902511	48	20	1.21253	2.05228	70	
19902511	48	20	1.23931	1.9413	70	
19902511	48	20	1.14196	1.86008	70	
19902511	48	20	1.31372	3.34118	70	
23887872	1	24	2.7503	25.862	70	
23887872	1	24	3.18795	40.7711	70	
23887872	1	24	2.78508	26.6441	70	
23887872	1	24	3.08534	42.2136	70	
23887872	1	24	3.3422	42.1739	70	
23887872	4	24	1.37969	11.1435	74	
23887872	4	24	1.37958	11.1705	74	
23887872	4	24	1.41975	11.1319	74	
